FFT_analysis (Idc=2e-06) X,FFT_analysis (Idc=2e-06) YRe,FFT_analysis (Idc=2e-06) YReImag
156000000,-9.571531661470257e-09,-4.563192586667234e-08
156500000,1.936813489345345e-09,-1.603708959296984e-09
157000000,2.0057424091451e-09,-1.724018217570134e-09
157500000,2.065516863518779e-09,-1.848245206690486e-09
158000000,2.115883534391727e-09,-1.975762628390555e-09
158500000,2.156619114965795e-09,-2.105880735161344e-09
159000000,2.187561263352167e-09,-2.237888294797837e-09
159500000,2.208645028072385e-09,-2.371069737215009e-09
160000000,-5.934936536697899e-08,-7.002681370009451e-08
160500000,2.220937201293971e-09,-2.638042184562385e-09
161000000,2.212251145444658e-09,-2.770425864688731e-09
161500000,2.193856931543977e-09,-2.901071783917339e-09
162000000,2.165907865141692e-09,-3.029309061435981e-09
162500000,2.128634993338569e-09,-3.154443569123524e-09
163000000,2.082321934327903e-09,-3.275798658742679e-09
163500000,2.027332320559534e-09,-3.39276197700818e-09
164000000,-1.036319895041002e-07,-1.68743800100973e-07
164500000,1.892857269951948e-09,-3.610888098596103e-09
165000000,1.814240775283729e-09,-3.710983948358548e-09
165500000,1.72880839103921e-09,-3.804406294740952e-09
166000000,1.637092630867517e-09,-3.890692060085516e-09
166500000,1.539706756737349e-09,-3.969443434202318e-09
167000000,1.437295670304657e-09,-4.040316466382599e-09
167500000,1.330486583860324e-09,-4.103089074445364e-09
168000000,6.457085507376759e-07,-2.20498854954387e-07
168500000,1.106425533355271e-09,-4.203329945294897e-09
169000000,9.904315717601055e-10,-4.240483099139066e-09
169500000,8.727287300464591e-10,-4.268980549296261e-09
170000000,7.539527085433574e-10,-4.288779435090526e-09
170500000,6.347400528796194e-10,-4.299929912234237e-09
171000000,5.157202448056114e-10,-4.302512000058088e-09
171500000,3.97470204291463e-10,-4.296660791266607e-09
172000000,1.537495990154126e-08,9.521935639953509e-09
172500000,1.658764231157772e-10,-4.260380370128553e-09
173000000,5.362622207516172e-11,-4.230390145670151e-09
173500000,-5.556692936035056e-11,-4.192948838541697e-09
174000000,-1.611763272994547e-10,-4.14836143792635e-09
174500000,-2.62739447250752e-10,-4.097021663091807e-09
175000000,-3.598319729934776e-10,-4.039348223662918e-09
175500000,-4.521056695450299e-10,-3.975761546222937e-09
176000000,5.168642596811855e-08,-6.901382144791801e-08
176500000,-6.207668785509333e-10,-3.832863192382335e-09
177000000,-6.966054985203868e-10,-3.754477116832037e-09
177500000,-7.665652250670201e-10,-3.672155108945873e-09
178000000,-8.304549111371499e-10,-3.586406418459705e-09
178500000,-8.881758194532681e-10,-3.497747414944071e-09
179000000,-9.396716287455719e-10,-3.406686359448159e-09
179500000,-9.849075945079241e-10,-3.313688383520728e-09
180000000,4.993145913768999e-08,-7.376430173518887e-08
180500000,-1.056772668615316e-09,-3.124029228739245e-09
181000000,-1.083551639192121e-09,-3.028319057061924e-09
181500000,-1.104428131691324e-09,-2.932582006713319e-09
182000000,-1.119574136863052e-09,-2.837282724112517e-09
182500000,-1.129224244116739e-09,-2.742822161003688e-09
183000000,-1.133653413401304e-09,-2.649565465503795e-09
183500000,-1.13312013667243e-09,-2.557804106003425e-09
184000000,-5.506918600366511e-07,-9.206144338122929e-10
184500000,-1.11856456904255e-09,-2.379997152136256e-09
185000000,-1.105188983922049e-09,-2.294430707047619e-09
185500000,-1.088223072261466e-09,-2.211227559424059e-09
186000000,-1.068009573938703e-09,-2.130543380682171e-09
186500000,-1.044894662609018e-09,-2.052454399562579e-09
187000000,-1.019232949389655e-09,-1.976999346938907e-09
187500000,-9.913274104766632e-10,-1.904185030167431e-09
188000000,-1.622259736628295e-07,8.953107867214386e-08
188500000,-9.302006961419214e-10,-1.766173475618227e-09
189000000,-8.975840228523192e-10,-1.700890366570901e-09
189500000,-8.639310219892125e-10,-1.637884795232674e-09
190000000,-8.295342349114657e-10,-1.576988099513243e-09
190500000,-7.946074927649883e-10,-1.517994322758811e-09
191000000,-7.593393176834748e-10,-1.460675897014886e-09
191500000,-7.238982718219529e-10,-1.404823978453544e-09
192000000,1.321697182946208e-08,3.19722054417507e-08
192500000,-6.528458231412162e-10,-1.296230302231141e-09
193000000,-6.174086501115927e-10,-1.242947692689666e-09
193500000,-5.820084371153493e-10,-1.189996521473853e-09
194000000,-5.466239950628567e-10,-1.137039306122117e-09
194500000,-5.111557481994838e-10,-1.083783401331298e-09
195000000,-4.7546243288228e-10,-1.029951506458388e-09
195500000,-4.394229765579163e-10,-9.752881160730181e-10
196000000,-1.103185695075012e-07,1.686298918249043e-07
196500000,-3.651144712555883e-10,-8.62407287070311e-10
197000000,-3.26340070773722e-10,-8.037341603811648e-10
197500000,-2.860752893323695e-10,-7.434261318589285e-10
198000000,-2.439216152504761e-10,-6.813022774667928e-10
198500000,-1.994612157694022e-10,-6.173217854730146e-10
199000000,-1.522864769498403e-10,-5.515124271335534e-10
199500000,-1.020669418368545e-10,-4.839322449569274e-10
200000000,1.168709772839118e-05,-5.832948576930598e-06
200500000,9.013265709901415e-12,-3.435196186823373e-10
201000000,7.104446745221511e-11,-2.70845847670822e-10
201500000,1.378927317171196e-10,-1.969985585530781e-10
202000000,2.099223597989234e-10,-1.222388218096726e-10
202500000,2.874996454514653e-10,-4.684421542735136e-11
203000000,3.710106311833857e-10,2.882493971536177e-11
203500000,4.608020142691581e-10,1.043956681378821e-10
204000000,-1.334960993866766e-07,-1.458413060118846e-07
204500000,6.603956320229877e-10,2.531343135077077e-10
205000000,7.707906276017682e-10,3.253232842571227e-10
205500000,8.884865454588742e-10,3.953314729849696e-10
206000000,1.013671206362516e-09,4.625004830899477e-10
206500000,1.146421347245361e-09,5.261896207843663e-10
207000000,1.286780866078204e-09,5.85741739993988e-10
207500000,1.434771160245074e-09,6.404858025644886e-10
208000000,1.316637557712339e-08,-1.976486187637217e-08
208500000,1.753104858419878e-09,7.326289130510959e-10
209000000,1.923150197620593e-09,7.685995331229486e-10
209500000,2.100126439347332e-09,7.969508852667649e-10
210000000,2.283699789608627e-09,8.169311746622191e-10
210500000,2.473465175996312e-09,8.2785862792153e-10
211000000,2.668962236551922e-09,8.29078478780869e-10
211500000,2.869716178061959e-09,8.199289141419022e-10
212000000,-1.571784902164039e-07,-7.273283570339713e-08
212500000,3.284454829838389e-09,7.68204889429185e-10
213000000,3.497080524775773e-09,7.244612623163737e-10
213500000,3.712297329620567e-09,6.681672876198468e-10
214000000,3.929272618790402e-09,5.988673456529541e-10
214500000,4.147156366752239e-09,5.161795826599928e-10
215000000,4.365061723766033e-09,4.197894889674526e-10
215500000,4.582041370145086e-09,3.094119403466793e-10
216000000,-6.459946380817636e-07,9.065433685656161e-07
216500000,5.009566400967442e-09,4.609079306887584e-11
217000000,5.217982136706805e-09,-1.070448350397992e-10
217500000,5.421458610966166e-09,-2.745072595848752e-10
218000000,5.618953737587103e-09,-4.561249790624087e-10
218500000,5.809420144153281e-09,-6.517050554692281e-10
219000000,5.991809358222268e-09,-8.609511650783019e-10
219500000,6.165047043999927e-09,-1.083494276973185e-09
220000000,8.388551293492825e-08,-6.663680647418286e-08
220500000,6.480214598129115e-09,-1.56642620088276e-09
221000000,6.620162220204611e-09,-1.825597511455731e-09
221500000,6.747110736260502e-09,-2.095690997034084e-09
222000000,6.860218994814862e-09,-2.375858567363326e-09
222500000,6.958698994764325e-09,-2.665230572547881e-09
223000000,7.041830749846607e-09,-2.962865620591966e-09
223500000,7.10893311548762e-09,-3.267746412708072e-09
224000000,5.260811939065736e-08,4.185698389101571e-08
224500000,7.193002856248735e-09,-3.895069402558353e-09
225000000,7.209088527295286e-09,-4.215204825014685e-09
225500000,7.207391255205697e-09,-4.538129307902504e-09
226000000,7.187736828069448e-09,-4.862646563995735e-09
226500000,7.150001331853963e-09,-5.187556127081227e-09
227000000,7.09415829826098e-09,-5.51166218899711e-09
227500000,7.020257727992955e-09,-5.833711228571271e-09
228000000,1.829081560999422e-08,-2.964824636853418e-08
228500000,6.819063532138841e-09,-6.467144512868201e-09
229000000,6.69238225829185e-09,-6.77617841941536e-09
229500000,6.548754505704119e-09,-7.078571007034288e-09
230000000,6.388715913183699e-09,-7.373265617686852e-09
230500000,6.212819428437227e-09,-7.65923854582625e-09
231000000,6.021678942728108e-09,-7.935512359356652e-09
231500000,5.816000372044945e-09,-8.201108105960635e-09
232000000,5.429613359446675e-07,8.856399004855798e-08
232500000,5.363975815476175e-09,-8.69690568134975e-09
233000000,5.119396292582042e-09,-8.925552000608622e-09
233500000,4.863592514128951e-09,-9.140340464561834e-09
234000000,4.597532219251147e-09,-9.340678273319669e-09
234500000,4.322214193128847e-09,-9.525988341152652e-09
235000000,4.038670930561749e-09,-9.695775594379206e-09
235500000,3.748026758195783e-09,-9.849612070877306e-09
236000000,-1.572986168773453e-07,2.08343852940923e-07
236500000,3.149669288314141e-09,-1.010813892697318e-08
237000000,2.844279185191879e-09,-1.021253002023825e-08
237500000,2.536295190350786e-09,-1.030015861878763e-08
238000000,2.226825301839801e-09,-1.03710855717604e-08
238500000,1.917000471458641e-09,-1.042542282227663e-08
239000000,1.607926838376789e-09,-1.046338070715069e-08
239500000,1.300685484551056e-09,-1.048529605917159e-08
240000000,-3.5461964336483e-08,5.419188929638289e-08
240500000,6.957194194062262e-10,-1.048241143186164e-08
241000000,3.998760798775814e-10,-1.045862241301793e-08
241500000,1.096985853139117e-10,-1.042071865282197e-08
242000000,-1.740431726993763e-10,-1.036933513594096e-08
242500000,-4.506014175848826e-10,-1.030516009138573e-08
243000000,-7.192868275660091e-10,-1.022893224688898e-08
243500000,-9.795169774294218e-10,-1.014146507412383e-08
244000000,-1.920902036799888e-08,5.021872022294741e-08
244500000,-1.472444571177559e-09,-9.935993854032717e-09
245000000,-1.704356832536562e-09,-9.819641428021664e-09
245500000,-1.926102876886304e-09,-9.695426710231881e-09
246000000,-2.137449447786279e-09,-9.564199281110346e-09
246500000,-2.338241569482523e-09,-9.426843592587739e-09
247000000,-2.528388060275962e-09,-9.284237743245494e-09
247500000,-2.707921385255775e-09,-9.137236620329603e-09
248000000,1.070029050864288e-07,4.851673958990444e-07
248500000,-3.0353024639342e-09,-8.833589455575641e-09
249000000,-3.183531998250469e-09,-8.678466148860257e-09
249500000,-3.321857410968915e-09,-8.522201619796475e-09
250000000,-3.450572839168799e-09,-8.365496086047252e-09
250500000,-3.570096257091775e-09,-8.209016416406892e-09
251000000,-3.680882155184879e-09,-8.0533612543384e-09
251500000,-3.783441394220459e-09,-7.899032336866881e-09
252000000,-1.199386933621697e-08,-4.719236319421638e-08
