FFT_analysis (Idc=5.5e-06) X,FFT_analysis (Idc=5.5e-06) YRe,FFT_analysis (Idc=5.5e-06) YReImag
0,8.255823912219704e-05,0
500000,2.275646128382674e-09,1.648974373572499e-10
1000000,2.321290535930777e-09,3.252034459541632e-10
1500000,2.396121546498307e-09,4.763623643953607e-10
2000000,2.498567061415079e-09,6.139485435602316e-10
2500000,2.626355132666068e-09,7.340445100823224e-10
3000000,2.776564906845187e-09,8.327885491159008e-10
3500000,2.945787070098097e-09,9.070687828423306e-10
4000000,-2.122234915543967e-07,-8.172444318174091e-08
4500000,3.325185369107446e-09,9.714337524858934e-10
5000000,3.526575661904049e-09,9.579431166175649e-10
5500000,3.729295736725434e-09,9.127476921560406e-10
6000000,3.928419927228991e-09,8.357946174286927e-10
6500000,4.118986262539757e-09,7.278714264788855e-10
7000000,4.296103207462836e-09,5.903970955755575e-10
7500000,4.455294295382074e-09,4.257512314587843e-10
8000000,4.436774861255586e-08,-1.279495990430946e-08
8500000,4.703055493520714e-09,2.764578913712165e-11
9000000,4.78476780146558e-09,-1.978127447426628e-10
9500000,4.834953222449589e-09,-4.345266898749346e-10
10000000,4.851863604261706e-09,-6.772647978385002e-10
10500000,4.834759156677517e-09,-9.205206416055437e-10
11000000,4.783852183861988e-09,-1.158654240133917e-09
11500000,4.700215002904989e-09,-1.386014563717348e-09
12000000,-1.537613782315666e-07,-6.866838738980675e-08
12500000,4.444018200084193e-09,-1.786961842257121e-09
13000000,4.278254787183976e-09,-1.950977702831028e-09
13500000,4.093424557636929e-09,-2.085245446805046e-09
14000000,3.894756084754536e-09,-2.186708700760611e-09
14500000,3.688172873975039e-09,-2.253271888820274e-09
15000000,3.479835371209776e-09,-2.283697707549234e-09
15500000,3.276128217308826e-09,-2.278102070445376e-09
16000000,-1.499025839325841e-07,1.285310569301728e-06
16500000,2.908044849769574e-09,-2.164156676145317e-09
17000000,2.755553749269481e-09,-2.061332090370696e-09
17500000,2.63114463608893e-09,-1.933440468410097e-09
18000000,2.539234133900243e-09,-1.785684639912591e-09
18500000,2.483185080083547e-09,-1.623945125548765e-09
19000000,2.465396979068729e-09,-1.454800219857831e-09
19500000,2.486935148482053e-09,-1.285216256571603e-09
20000000,8.410507956154027e-08,3.815450273859996e-08
20500000,2.646766790773575e-09,-9.728803133950896e-10
21000000,2.781130558166478e-09,-8.438690118962336e-10
21500000,2.94720818876453e-09,-7.415075761323407e-10
22000000,3.140279082783169e-09,-6.713525679153533e-10
22500000,3.354493759859575e-09,-6.379513060090913e-10
23000000,3.583435389871232e-09,-6.450327251002947e-10
23500000,3.82004991444829e-09,-6.949001246310392e-10
24000000,8.29097927541402e-08,-1.805413411052016e-08
24500000,4.286578521810844e-09,-9.266720778918833e-10
25000000,4.50154641709963e-09,-1.10693698996519e-09
25500000,4.694833395039873e-09,-1.326943054678405e-09
26000000,4.859865162007082e-09,-1.582816928696303e-09
26500000,4.990941111853608e-09,-1.869689869833725e-09
27000000,5.083298483000559e-09,-2.181660166126019e-09
27500000,5.133155859981178e-09,-2.512181628433025e-09
28000000,1.800060055828051e-08,-7.482028312860448e-08
28500000,5.096617008333889e-09,-3.200233753983142e-09
29000000,5.008945452119999e-09,-3.542949223493509e-09
29500000,4.876194851116597e-09,-3.874948471976047e-09
30000000,4.700891154661645e-09,-4.189320386144722e-09
30500000,4.486655551775056e-09,-4.479770371571715e-09
31000000,4.237941621373967e-09,-4.740611845558591e-09
31500000,3.960220264222802e-09,-4.967153680206853e-09
32000000,6.43965614445184e-07,2.949814742525203e-07
32500000,3.342247902284224e-09,-5.304034921147402e-09
33000000,3.015307549541493e-09,-5.410452637457803e-09
33500000,2.685341395627907e-09,-5.474805018593536e-09
34000000,2.358960985238476e-09,-5.498073063776152e-09
34500000,2.04236960780427e-09,-5.482271837352457e-09
35000000,1.741147599455331e-09,-5.430403058918011e-09
35500000,1.460296100597663e-09,-5.3463436550657e-09
36000000,-2.904748221140449e-07,1.54078662782407e-07
36500000,9.748961290582995e-10,-5.100221734186855e-09
37000000,7.757010903638622e-10,-4.94867955132763e-09
37500000,6.073519727114017e-10,-4.785435780440306e-09
38000000,4.700671604526113e-10,-4.615967629924428e-09
38500000,3.628518750111581e-10,-4.445524912012227e-09
39000000,2.84117011621718e-10,-4.279029316435387e-09
39500000,2.313417156013781e-10,-4.120734544726926e-09
40000000,-9.603135761687042e-09,4.236416228238339e-08
40500000,1.906149360346472e-10,-3.842635485169017e-09
41000000,1.95044491272242e-10,-3.727835628993602e-09
41500000,2.106303161301206e-10,-3.631065128712137e-09
42000000,2.331273691231361e-10,-3.552753792713289e-09
42500000,2.586674473767116e-10,-3.492488096736545e-09
43000000,2.835998551504435e-10,-3.449104946966385e-09
43500000,3.047179254287417e-10,-3.420794229042588e-09
44000000,-1.279730440569778e-08,-4.129584117252315e-08
44500000,3.25524418495886e-10,-3.399308276900724e-09
45000000,3.218441426833462e-10,-3.40039451649874e-09
45500000,3.077816611991066e-10,-3.40521876998607e-09
46000000,2.834019821762996e-10,-3.410614396448618e-09
46500000,2.496692979513861e-10,-3.413671614356294e-09
47000000,2.07911278882337e-10,-3.411711231418304e-09
47500000,1.601190218705968e-10,-3.402600088058109e-09
48000000,6.897229459508683e-08,5.814553862742068e-07
48500000,5.68717851336081e-11,-3.356855578594809e-09
49000000,7.133949719045389e-12,-3.318687957215626e-09
49500000,-3.742845180055844e-11,-3.270604782044163e-09
50000000,-7.384144093657776e-11,-3.213573578428519e-09
50500000,-9.941014932276223e-11,-3.149190000113741e-09
51000000,-1.118343133998959e-10,-3.079809817931874e-09
51500000,-1.092771040527319e-10,-3.008170017870303e-09
52000000,-1.189290363150915e-08,8.433716409807277e-08
52500000,-5.494042186380876e-11,-2.871327972600982e-09
53000000,-2.695341020873147e-12,-2.813267996133331e-09
53500000,6.530070335302706e-11,-2.767057758557027e-09
54000000,1.474681652045573e-10,-2.736206320151624e-09
54500000,2.41295675937734e-10,-2.724047946034797e-09
55000000,3.438780103975044e-10,-2.733432044601067e-09
55500000,4.515235900611284e-10,-2.76668290786215e-09
56000000,-1.695672029477922e-08,-1.516687676250216e-07
56500000,6.650949883926217e-10,-2.910953837790083e-09
57000000,7.618783814515499e-10,-3.022980782560926e-09
57500000,8.455509331696341e-10,-3.160906017166607e-09
58000000,9.114189737217808e-10,-3.323184437302217e-09
58500000,9.549937011238574e-10,-3.507361090209071e-09
59000000,9.722843316155565e-10,-3.710177818051549e-09
59500000,9.596928861691209e-10,-3.927568988472527e-09
60000000,-4.135352804414255e-08,-5.579951268488071e-08
60500000,8.340277501421125e-10,-4.387245948280263e-09
61000000,7.176958057885355e-10,-4.618942079688713e-09
61500000,5.650548572823374e-10,-4.844179494633389e-09
62000000,3.767198749958822e-10,-5.05731596803762e-09
62500000,1.544806585678262e-10,-5.252591486629021e-09
63000000,-9.919999686325236e-11,-5.424634654330189e-09
