FFT_analysis (Idc=4.5e-06) X,FFT_analysis (Idc=4.5e-06) YRe,FFT_analysis (Idc=4.5e-06) YReImag
0,7.352871494976868e-05,0
500000,3.251283442843388e-08,-1.73547360783024e-09
1000000,3.231065879228714e-08,-3.461922308523953e-09
1500000,3.197439817584644e-08,-5.170438369849682e-09
2000000,3.150514140717142e-08,-6.852154218051132e-09
2500000,3.090426771108062e-08,-8.49827812574563e-09
3000000,3.017340976078729e-08,-1.010006542528822e-08
3500000,2.931439318991781e-08,-1.164862998474035e-08
4000000,-1.011853891075626e-07,-1.223977038739958e-07
4500000,2.722033406684408e-08,-1.45498646710381e-08
5000000,2.599035695224737e-08,-1.588324595067165e-08
5500000,2.464252756041751e-08,-1.712466515206815e-08
6000000,2.318102847629589e-08,-1.826299092674471e-08
6500000,2.161114575903325e-08,-1.928642768966195e-08
7000000,1.99396592029824e-08,-2.018264499426592e-08
7500000,1.817518803483362e-08,-2.093899511565369e-08
8000000,8.415552558014229e-08,-4.88948870346617e-08
8500000,1.441212553540188e-08,-2.198227388140984e-08
9000000,1.244188511680486e-08,-2.224590309960923e-08
9500000,1.04353011557342e-08,-2.232406684322472e-08
10000000,8.412262848938891e-09,-2.220920042324251e-08
10500000,6.394550814326253e-09,-2.189629507961957e-08
11000000,4.405392197016123e-09,-2.138342353773255e-08
11500000,2.468954614977775e-09,-2.067215360077294e-08
12000000,-2.224033581708715e-07,-1.623537786480777e-07
12500000,-1.149076476812164e-09,-1.867909505139342e-08
13000000,-2.784211624704644e-09,-1.741929969693539e-08
13500000,-4.275138478638676e-09,-1.60045715699861e-08
14000000,-5.603857045875085e-09,-1.445438442275181e-08
14500000,-6.755463717830233e-09,-1.279079175455922e-08
15000000,-7.718643388889039e-09,-1.103781674286935e-08
15500000,-8.48594737491797e-09,-9.220773512269015e-09
16000000,1.491612104495027e-07,1.225881586733378e-06
16500000,-9.422749365969107e-09,-5.497551488577336e-09
17000000,-9.596867441049279e-09,-3.641854208037258e-09
17500000,-9.583777079236961e-09,-1.821847450372132e-09
18000000,-9.394154972527594e-09,-5.903615027984001e-11
18500000,-9.041311889078109e-09,1.627336641473656e-09
19000000,-8.540719418347402e-09,3.220616309441853e-09
19500000,-7.909589163969879e-09,4.706889341011386e-09
20000000,1.317297483633568e-07,3.044970494253779e-08
20500000,-6.329998298812381e-09,7.31773036250735e-09
21000000,-5.420324217121787e-09,8.429323833812698e-09
21500000,-4.456626478813458e-09,9.407903354429918e-09
22000000,-3.457812425877783e-09,1.025432380372529e-08
22500000,-2.441837795198204e-09,1.097208013738293e-08
23000000,-1.425329838064381e-09,1.156719544585885e-08
23500000,-4.232478776567576e-10,1.204793848450604e-08
24000000,1.075235854000838e-07,4.144494432092458e-08
24500000,1.488704014266684e-09,1.270857082858553e-08
25000000,2.380076155082887e-09,1.291306037326183e-08
25500000,3.220431804762926e-09,1.305126415526224e-08
26000000,4.007297747825978e-09,1.313662405895594e-08
26500000,4.740840617084292e-09,1.318206516681957e-08
27000000,5.42371963344537e-09,1.319948346276268e-08
27500000,6.060780714830412e-09,1.319932885905194e-08
28000000,-1.653743601008605e-09,-9.121045329966012e-08
28500000,7.225463633964814e-09,1.317790183239807e-08
29000000,7.769933343342409e-09,1.316676054868415e-08
29500000,8.301073264888158e-09,1.31579268031056e-08
30000000,8.82760625487563e-09,1.315018957822676e-08
30500000,9.357317354286361e-09,1.314000761262066e-08
31000000,9.896578027437014e-09,1.312178134149918e-08
31500000,1.044994586005179e-08,1.308827146206446e-08
32000000,6.902208750818649e-07,1.918116179346303e-07
32500000,1.160577619091372e-08,1.294055490699009e-08
33000000,1.220557222419671e-08,1.280789693873286e-08
33500000,1.281383767771067e-08,1.262423552830762e-08
34000000,1.342297673401707e-08,1.238180186711143e-08
34500000,1.402322865716456e-08,1.207451906775883e-08
35000000,1.46030527007438e-08,1.169840304784245e-08
35500000,1.514967734963152e-08,1.125198913262932e-08
36000000,-1.433524275928853e-07,2.703119791744401e-07
36500000,1.608867596860733e-08,1.01565514661966e-08
37000000,1.645425171281839e-08,9.519025279671091e-09
37500000,1.673425129749742e-08,8.834329609574636e-09
38000000,1.691849693518378e-08,8.115276701393143e-09
38500000,1.699924977449022e-08,7.376999406787801e-09
39000000,1.697166408169761e-08,6.636406493858273e-09
39500000,1.683419418257228e-08,5.911528111173945e-09
40000000,1.44245022847037e-08,6.945687604402161e-08
40500000,1.624107897279274e-08,4.583017332833605e-09
41000000,1.580022400893045e-08,4.014899713565194e-09
41500000,1.527889444216801e-08,3.532115408129713e-09
42000000,1.469266157535463e-08,3.147688425400074e-09
42500000,1.405963276261592e-08,2.871545454388209e-09
43000000,1.339975841804422e-08,2.710005952966349e-09
43500000,1.273405081672089e-08,2.665387747139374e-09
44000000,-6.651162784266078e-08,2.449949421477941e-08
44500000,1.146981930181844e-08,2.915632237673181e-09
45000000,1.091116036697661e-08,3.19444768870405e-09
45500000,1.042488980771994e-08,3.558590784170348e-09
46000000,1.002496219848948e-08,3.991184990279561e-09
46500000,9.721729245186626e-09,4.472762940116132e-09
47000000,9.521453797376847e-09,4.982087463514001e-09
47500000,9.425931355603733e-09,5.497018010901574e-09
48000000,8.465924626889896e-08,6.59719035198252e-07
48500000,9.534294164407825e-09,6.455856895307443e-09
49000000,9.719686116221021e-09,6.859147953145181e-09
49500000,9.973558417106195e-09,7.188281065638629e-09
50000000,1.027761630141346e-08,7.429766666971784e-09
50500000,1.061100925150561e-08,7.574008699157672e-09
51000000,1.095123093244825e-08,7.615772276759539e-09
51500000,1.127496590240492e-08,7.554495928954789e-09
52000000,-3.0052758244875e-08,-2.083772038144859e-09
52500000,1.17817013082627e-08,7.143665438453304e-09
53000000,1.192268313263476e-08,6.815840646995835e-09
53500000,1.196476775849115e-08,6.42752282604358e-09
54000000,1.189426330619393e-08,5.998688633539249e-09
54500000,1.170146757760775e-08,5.551729811027144e-09
55000000,1.138110464911486e-08,5.11062715292649e-09
55500000,1.093254018195153e-08,4.700080730992806e-09
