FFT_analysis (Idc=2.5e-06) X,FFT_analysis (Idc=2.5e-06) YRe,FFT_analysis (Idc=2.5e-06) YReImag
0,6.106544621365873e-05,0
500000,-1.372401887162503e-08,-1.222325302298376e-08
1000000,-1.42895181265664e-08,3.867741557368675e-09
1500000,-3.835050398069512e-08,-1.850655215772594e-09
2000000,-5.15631750918404e-08,1.605702433977648e-08
2500000,-3.327224997068622e-08,-4.728114011275121e-09
3000000,-3.366140424113355e-08,6.747348599754922e-09
3500000,-4.697365870682079e-08,1.379938425080007e-09
4000000,-1.886149320096466e-07,-8.93976309343086e-08
4500000,-5.336472324371145e-08,1.928016114145122e-09
5000000,-5.809346609397158e-08,1.372629186356951e-08
5500000,-3.637008750200687e-08,-2.007732523215727e-10
6000000,-4.055941827953182e-08,3.337517816247975e-09
6500000,-3.941967784180713e-08,1.925026956970093e-08
7000000,-4.839930803412986e-08,2.547789964969048e-08
7500000,-4.758135470116496e-08,1.215312889391765e-08
8000000,2.388355137324765e-09,-1.585336005667237e-08
8500000,-3.129273390983972e-08,6.492299057054103e-09
9000000,-5.039053933731868e-08,3.168080852609804e-08
9500000,-6.192786362618499e-08,9.222191120833597e-09
10000000,-4.535382106938746e-08,2.314029873164271e-08
10500000,-5.518416331064239e-08,4.159612945441362e-08
11000000,-3.854820089221934e-08,4.848254993460151e-08
11500000,-4.778281487576691e-08,2.573068596292399e-08
12000000,-2.251119684542338e-07,-8.062147083572667e-08
12500000,-6.740838677199307e-08,2.956693613886867e-08
13000000,-6.336095084915254e-08,4.936964688961281e-08
13500000,-4.610996686882698e-08,2.375214699451793e-08
14000000,-5.722400102806936e-08,4.318213083581074e-08
14500000,-3.109070945956798e-08,3.93686798996572e-08
15000000,-6.1342945073963e-08,1.044278425428852e-07
15500000,-8.313020672504082e-08,7.938000351956258e-08
16000000,-2.021581674884055e-07,3.54732927857928e-07
16500000,-7.903230374517343e-08,9.8131243127919e-08
17000000,-1.266430617430373e-07,1.740146949523236e-07
17500000,4.34837558498969e-08,-2.32403273351951e-07
18000000,-5.011861544184607e-08,1.025020170470446e-08
18500000,-6.451681833567434e-08,8.149908270165348e-09
19000000,-3.935174596004409e-08,3.078030586088868e-08
19500000,-5.110440900216682e-08,4.972445624806985e-08
20000000,1.828123741719639e-08,7.039034278866499e-08
20500000,-5.917727970681523e-08,5.685343677418234e-08
21000000,-5.816647191803711e-08,8.011250134521054e-08
21500000,-7.532638167640012e-08,5.920093637905949e-08
22000000,-6.666314212434637e-08,7.536608439675705e-08
22500000,-9.775380471489698e-08,6.951493949055377e-08
