0,0,1.419561821753175e-05,5200000000,4.321363517669116e-06,5400000000,4.319897643214042e-06,5000000000,4.309687884310174e-06,5600000000,4.299783890405373e-06,4800000000,4.294540794296796e-06,4600000000,4.278586735674333e-06,3600000000,4.272093798304489e-06,4400000000,4.272068797911066e-06,3400000000,4.270515040737752e-06,5800000000,4.267067139492287e-06,4200000000,4.264908087497488e-06,3800000000,4.251746824496912e-06,3200000000,4.245179686636605e-06,6000000000,4.244349650203826e-06
0.5,0,2.898405101281407e-05,799999999.9999999,2.4667830326647455e-05,233400000,2.0103896230466435e-05,99999999.99999999,1.8668809857291944e-05,333399999.9999999,1.7049233058713576e-05,566599999.9999999,1.6434744663986055e-05,466599999.9999999,1.4901026673964664e-05,1600000000,1.4076510749866097e-05,699999999.9999999,1.2916825094961954e-05,899999999.9999999,1.274687381656806e-05,1033400000,1.1710322081768614e-05,1133400000,1.0526808624020293e-05,1366600000,1.0254214887411759e-05,233200000,1.0110017201025092e-05,133400000,9.462631367618184e-06
1.0,0,3.889919706395623e-05,433500000,3.0933314309142e-05,100000000,2.918138551866102e-05,533500000,2.5092861544318542e-05,1400000000,2.021549291420612e-05,866500000,1.9514281046294144e-05,966500000,1.9414976480203226e-05,3200000000,1.6089316355422417e-05,433000000,1.5503396963028275e-05,333500000,1.5239161490941077e-05,5000000000,1.442470703308469e-05,3733500000,1.351611807696522e-05,1000000000,1.3404203050288086e-05,3300000000,1.3337839762081072e-05,4166500000,1.2936727040557726e-05
1.5,0,4.804090695318447e-05,100000000,3.712736762477556e-05,610000000,2.467092322479841e-05,710000000,1.8023228562926273e-05,500000000,1.762923381838969e-05,1210000000,1.6408477286829243e-05,600000000,1.5055039636896815e-05,610500000,1.4897057270928768e-05,510000000,1.4610543969614267e-05,300000000,1.454194320556474e-05,700000000,1.4018204709287645e-05,3740000000,1.3850266402702486e-05,611000000,1.3682495004510658e-05,710500000,1.1947875129423671e-05,3130000000,1.1365865445863103e-05
2.0,800000000,5.854636499159776e-05,700000000,5.4074127767089454e-05,0,5.285793691402625e-05,100000000,4.89096102579502e-05,3700000000,2.9902013491814385e-05,4500000000,2.933111973280761e-05,4400000000,2.7674407139267304e-05,1500000000,2.6328369664234796e-05,3000000000,2.4990091994140424e-05,5200000000,2.3887057512008096e-05,3800000000,2.2577955632456408e-05,300000000,2.0338341407300496e-05,500000000,1.8940996884831287e-05,3100000000,1.8247679211151257e-05,1600000000,1.669747094423477e-05
2.5,0,6.106544621365873e-05,100000000,4.9991944139134525e-05,833500000,4.569267405147324e-05,933500000,3.67805199601731e-05,3400000000,2.734671904198184e-05,833000000,2.2763463993286093e-05,3500000000,2.2206309394119307e-05,4333500000,2.215132071195593e-05,733500000,2.1233853943876143e-05,3433500000,1.9556510180831318e-05,300000000,1.883677605689444e-05,933000000,1.8430636350340302e-05,3533500000,1.625195694825626e-05,4233500000,1.6209477268084723e-05,1000000000,1.5812126308139732e-05
3.0,1000000000,6.775631516981107e-05,0,6.265272471062442e-05,100000000,6.199482202140189e-05,900000000,5.418466100197718e-05,3900000000,4.435970786809319e-05,3800000000,4.1243577786338825e-05,2900000000,3.6191426602331104e-05,2800000000,2.99940213587521e-05,4800000000,2.630645816664923e-05,300000000,2.6020115801389418e-05,1100000000,2.3731980122893125e-05,4900000000,2.3516762034879764e-05,3000000000,2.2167468893402163e-05,700000000,2.153490751934169e-05,4000000000,2.1458122827993866e-05
3.5,0,6.910274470644974e-05,100000000,6.297008852814264e-05,1033500000,3.8456153991968346e-05,3166500000,3.589214393252069e-05,3066500000,2.6023868520004716e-05,1100000000,2.5231957113388368e-05,4166500000,2.4918068038766737e-05,1133500000,2.487984925645748e-05,300000000,2.3551741495502465e-05,933500000,2.3062946769734924e-05,5200000000,2.1091989607573874e-05,3266500000,2.0149088585819527e-05,4266500000,2.007284545022136e-05,1200000000,1.919937640919879e-05,1033000000,1.9077318994511318e-05
4.0,0,7.260415124128246e-05,100000000,7.103563259544734e-05,1100000000,5.869789913194508e-05,1200000000,5.152800115638481e-05,3400000000,4.8589829534214044e-05,4500000000,4.01644048951027e-05,3300000000,3.710108001495961e-05,4400000000,3.198752985742892e-05,3500000000,2.9417992710966083e-05,300000000,2.8569133117905588e-05,2300000000,2.387212324759287e-05,2200000000,2.270655699426907e-05,500000000,2.125237602662073e-05,200000000,1.9767391862709815e-05,700000000,1.7799328477184624e-05
4.5,100000000,7.588979844647437e-05,0,7.352871494976868e-05,1200000000,6.716046872691561e-05,3600000000,4.784589211603817e-05,1100000000,4.42799756361202e-05,3700000000,3.900272342762029e-05,300000000,3.1994544860558356e-05,3500000000,3.157336937654728e-05,2500000000,2.9342066978219206e-05,1300000000,2.800124860043568e-05,900000000,2.5780533067337932e-05,500000000,2.5516175249985535e-05,700000000,2.4175802593968446e-05,2400000000,2.385535228237023e-05,7200000000,2.1845893341944278e-05
